name,|N|,|M|,matrix_size,|M1|,num_explored_hypotheses,per_level_hypotheses,execution_time,per_level_time,memory_occupation,num_solutions,hypotheses_per_second
025.80,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21809.1314,"[0.0148, 14.3214, 120.0706, 648.1244, 2995.2228, 17970.3404, 15.1107]",467520,298,5.2346422196346625
025.81,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21889.9718,"[0.0146, 15.1377, 119.5578, 641.2306, 2996.599, 18057.3004, 15.4547]",449311,298,5.215310510358903
025.82,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21854.0546,"[0.0138, 14.6717, 119.9571, 645.3649, 3000.5859, 18010.6591, 16.4055]",472964,298,5.223881887803099
025.83,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21984.9582,"[0.0174, 14.6218, 121.9656, 645.9093, 2991.131, 18152.1911, 14.958]",447612,298,5.192777669233867
025.84,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21887.2445,"[0.0168, 13.9045, 126.4277, 645.1923, 3003.6169, 18038.0889, 15.8385]",447575,298,5.215960373632231
025.85,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21984.4179,"[0.0165, 14.5347, 125.6811, 639.4644, 3010.2839, 18133.4039, 17.1883]",468049,298,5.192905289523267
025.86,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21803.5045,"[0.0147, 15.0608, 118.6091, 639.3319, 2999.7531, 17970.8535, 16.3093]",474695,298,5.235993140460517
025.87,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21818.5088,"[0.0156, 15.3501, 118.8793, 639.5211, 2988.6652, 17992.7637, 19.1638]",439310,298,5.232392417212307
025.88,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21851.9996,"[0.0147, 14.9556, 122.2622, 645.7552, 3007.7557, 18000.1371, 17.4268]",519993,298,5.2243731507298765
025.89,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",22160.5102,"[0.0152, 13.8494, 118.9555, 637.3864, 3194.22, 18137.1822, 15.1561]",503373,298,5.1516413191606025
025.90,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21984.0032,"[0.0141, 14.3132, 120.1693, 644.3408, 3018.423, 18128.1143, 15.2821]",429510,298,5.19300324701554
025.91,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21910.5269,"[0.0149, 14.2854, 118.1584, 639.2487, 3013.3997, 18065.9015, 15.4381]",440168,298,5.2104178288838865
025.92,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21895.9398,"[0.0136, 14.4864, 118.5079, 638.3137, 3016.1812, 18049.5746, 15.0719]",469768,298,5.213889015168008
025.93,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21901.2581,"[0.0141, 14.1023, 118.8166, 638.2352, 3004.6368, 18063.0739, 15.6299]",429664,298,5.212622922333398
025.94,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",22115.3648,"[0.0166, 15.0412, 118.5817, 637.4739, 3007.3148, 18277.496, 15.5454]",430818,298,5.162157668771532
025.95,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21957.3749,"[0.0148, 14.4212, 118.7716, 635.34, 3008.5522, 18119.3306, 16.3266]",462518,298,5.199300941935459
025.96,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21952.9947,"[0.0144, 14.3893, 118.4053, 634.0102, 3010.2068, 18115.3504, 17.5919]",460601,298,5.200338339260839
025.97,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21922.5988,"[0.0156, 13.8933, 117.4023, 637.788, 3010.2633, 18084.2896, 15.1941]",503521,298,5.207548659787543
025.98,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",22100.9253,"[0.0149, 14.1945, 118.7068, 636.4273, 3018.4305, 18255.1548, 15.0636]",478485,298,5.1655303318906745
025.99,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21845.8317,"[0.0157, 14.6217, 119.9818, 643.6202, 3013.882, 17994.8365, 14.9046]",453342,298,5.225848187780372
74L85.025,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21929.6753,"[0.0147, 14.3766, 119.5214, 648.0476, 3004.7671, 18082.6715, 16.3864]",441678,298,5.205868232805071
